V200011a,V202144,V201200,V202064,V202064z,V202637,V201549x,V203000
0.559661962150083,100,6,-1,-3,-5,1,36
0.601837774867943,85,6,-1,-3,-1,4,6
1.06309917922454,30,4,-1,-3,-1,1,17
0.432147507663862,85,6,-1,-3,-1,1,39
0.404636369058447,50,3,-1,-3,-1,1,17
0.495259449499186,100,4,-1,-3,-1,3,25
1.24302621605365,0,4,-1,-3,-1,2,37
1.97264881685419,100,6,-1,-3,-1,5,36
1.9776726091504,0,99,-1,-3,-1,2,42
0.550673884805178,100,6,-1,-3,-1,1,4
1.23152960018553,100,6,-1,-3,-1,-9,12
0.84242892101,16,99,-1,-3,-1,3,8
2.5212231590071,-6,1,-6,-3,-6,3,1
0.328283072285287,60,99,-1,-3,-1,1,26
3.98299604601904,85,5,-1,-3,-1,2,51
0.93681312456655,23,4,-1,-3,-1,1,47
1.2521491581818,0,2,-1,-3,-1,1,41
1.91196213303788,100,6,-1,-3,-1,1,55
0.735183966898151,0,3,-1,-3,-1,1,4
3.77395433678726,0,99,-1,-3,-1,3,6
0.516851167979472,0,2,-1,-3,-1,2,42
1.31216652801782,90,6,-1,-3,-1,1,29
0.899554618780174,100,6,-1,-3,-1,1,13
0.759473027266778,100,6,-1,-3,-1,1,24
0.556650877916098,0,2,-1,-3,-1,1,4
0.493532567880489,0,6,-1,-3,-1,1,33
0.75545359897674,0,5,-1,-3,-1,1,39
0.648359725037058,85,7,-1,-3,-1,1,4
0.403025416252833,0,5,-1,-3,-1,1,4
0.683224895576758,30,3,-1,-3,-1,1,36
0.575571488323419,85,4,-1,-3,-1,1,22
0.269026721067705,0,4,-1,-3,-1,1,27
1.04824985694303,60,99,-1,-3,-1,1,17
1.17765991196676,0,2,-1,-3,-1,2,37
0.885409597051634,0,6,-1,-3,-1,2,34
0.456151020624889,0,4,-1,-3,-1,1,33
0.283942542799148,0,1,-1,-3,-1,5,25
0.788150021344665,-6,4,-6,-3,-6,1,48
2.95584496133318,15,4,1,-3,-1,3,36
0.595441378314648,0,2,-1,-3,-1,1,26
1.08826078723778,100,6,-1,-3,-1,1,5
1.475680443977,-6,3,-6,-3,-6,4,51
1.04499471231611,100,3,-1,-3,-1,1,37
1.97994343839702,-6,99,-6,-3,-6,6,37
0.546307757548178,80,6,-1,-3,-1,1,45
0.858171625326112,-9,5,-1,-3,-1,1,42
1.75364221148691,100,6,-1,-3,-1,1,17
0.369853499328506,0,2,-1,-3,-1,1,47
1.64151669953413,85,7,-1,-3,-1,1,22
1.30466224323045,100,99,-1,-3,-1,1,12
1.84828790845109,100,7,-1,-3,-1,1,21
0.899439431154877,90,6,-1,-3,-5,1,36
1.37640072233092,0,99,-1,-3,-1,2,20
0.922026895158323,0,2,-1,-3,-1,6,37
0.343708826925573,-6,2,-6,-3,-6,1,37
0.389922877310087,0,2,-1,-3,-1,1,9
1.14240487220993,85,6,-1,-3,-1,1,29
0.431662999021628,0,4,-1,-3,-1,1,21
1.27768029557399,70,4,-1,-3,-1,1,51
0.499503261432829,0,4,-1,-3,-1,1,29
0.532017077442817,50,6,-1,-3,-1,1,33
0.279241183157559,0,2,-1,-3,-1,1,6
0.345407521237577,0,2,-1,-3,-1,1,25
1.62215942963934,40,99,-1,-3,-1,3,48
0.448787923602705,0,2,-1,-3,-1,1,17
0.94843801052088506,2,4,-1,-3,-1,1,4
1.15551839462648,-6,4,-6,-3,-6,1,47
0.382476427019961,0,1,-1,-3,-1,1,39
1.10738258268318,100,99,-1,-3,-1,3,21
1.58053221841989,85,6,-1,-3,-1,1,1
0.288393316618038,85,6,-1,-3,-1,1,44
0.471495303194331,100,4,-1,-3,-1,1,34
0.710715180044935,85,6,-1,-3,-1,1,48
0.444187254450171,0,4,-1,-3,-1,2,24
0.688595737679891,15,3,-1,-3,-1,2,39
2.57604244865026,-6,99,-6,-3,-6,1,6
1.44498863900066,0,99,-1,-3,-1,3,42
0.990693547522756,0,3,-1,-3,-1,3,48
0.650810339991085,0,2,-1,-3,-1,1,6
0.918507694037054,0,4,-1,-3,-1,2,6
0.73301472208887,7,6,-1,-3,-1,1,12
3.24306671812201,70,99,-1,-3,-1,1,39
0.617307730328945,0,4,-1,-3,-1,2,20
0.299847431952263,0,6,-1,-3,-1,3,6
1.60193685736769,0,1,-1,-3,-1,1,48
1.382770894268,60,99,-1,-3,-1,1,12
0.686973391001694,40,99,-1,-3,-1,1,24
0.79124050525874,0,2,-1,-3,-1,1,11
0.620667938556792,80,7,-1,-3,-1,1,47
0.788576953941724,40,4,-1,-3,-1,1,6
0.515079239710464,0,3,-1,-3,-1,1,6
0.843691110913789,100,6,-1,-3,-1,1,12
2.20410943081915,85,4,-1,-3,-1,1,20
0.35435789458288,70,4,-1,-3,-1,1,18
3.01467685975317,50,5,-1,-3,-1,3,48
0.466491316828116,50,3,-1,-3,-1,3,48
0.579346828329177,0,99,-1,-3,-1,2,34
0.351440421279776,0,2,-1,-3,-1,1,16
0.498414634032793,30,4,-1,-3,-1,1,6
2.26305005187387,60,6,-1,-3,-1,3,12
0.63463517680747,-9,7,-1,-3,-1,1,12
0.282744387277495,0,2,-1,-3,-1,1,41
1.15542746386042,0,3,-1,-3,-1,1,27
0.635504767657628,70,4,-1,-3,-1,1,26
0.807042844883523,40,99,-1,-3,-1,1,6
2.0572360976603,-9,99,-1,-3,-5,1,21
1.40495567257733,-7,1,-7,-3,-7,2,4
0.549705761266858,60,4,-1,-3,-1,6,48
0.847977544228288,50,6,-1,-3,-1,1,55
0.605449748464813,0,3,-1,-3,-1,1,6
1.71750223147479,50,5,-1,-3,-1,1,17
0.639541289323877,0,2,-1,-3,-1,1,42
0.380287235384786,70,5,-1,-3,-1,1,29
0.697141368728477,0,99,-1,-3,-1,1,18
2.58066467804103,15,99,-1,-3,-1,6,4
2.50002166049474,0,4,-1,-3,-1,1,5
1.41417998477451,85,4,-1,-3,-1,1,42
1.54584725948954,0,2,-1,-3,-1,1,41
0.513363062177934,0,4,-1,-3,-1,4,48
0.555899634053945,0,4,-1,-3,-1,1,51
0.513882951814645,100,99,-1,-3,-1,1,12
0.894237626695842,0,4,-1,-3,-1,1,9
0.657541821372228,0,4,-1,-3,-1,1,26
0.477653032347249,30,4,-1,-3,-1,2,13
0.658035826059641,70,7,-1,-3,-1,5,51
0.480236850439272,85,6,-1,-3,-1,1,51
0.84936350104485,0,2,-1,-3,-1,1,36
0.607501367796224,30,4,-1,-3,-1,1,6
0.378590459868061,10,2,-1,-3,-1,1,31
0.324087857469414,-6,3,-6,-3,-6,4,6
0.721847732406846,15,3,-1,-3,-1,6,33
1.84427912155678,13,2,-1,-3,-1,1,32
1.67945059652658,-6,99,-6,-3,-6,3,35
0.79531872663263,30,4,-1,-3,-1,1,24
0.727027102945894,100,7,-1,-3,-1,1,6
1.94114579387177,100,4,-1,-3,-1,1,47
0.760701601474979,100,6,-1,-3,-1,1,4
0.403391544717621,0,2,-1,-3,-1,1,36
1.78820347390205,0,5,-1,-3,-1,1,12
0.758060251775822,0,4,-1,-3,-1,1,55
1.48823220683115,-6,3,-6,-3,-6,3,6
1.03702413010042,0,99,-1,-3,-1,3,12
0.607320749522694,0,2,-1,-3,-1,1,4
0.998977187950281,-6,99,-6,-3,-6,2,24
1.17246398502116,50,4,-1,-3,-1,1,6
1.66273278747523,85,6,-1,-3,-1,1,48
0.399473031222126,30,6,-1,-3,-1,1,6
0.402406259667101,100,7,-1,-3,-1,1,39
0.509490311297805,0,1,-1,-3,-1,1,53
0.856845092235555,40,4,-1,-3,-1,1,12
0.603609631178559,0,2,-1,-3,-1,1,17
0.699319756500901,0,2,-1,-3,-1,1,24
0.551546824731001,70,5,-1,-3,-1,1,48
0.959767561124027,0,2,-1,-3,-1,1,8
5.79111594247423,0,99,-1,-3,-1,2,36
2.50505921013878,30,99,-1,-3,-1,1,42
1.0959204476009,85,6,-1,-3,-1,1,37
0.856597072493694,0,4,-1,-3,-1,1,6
0.838561504988357,100,5,-1,-3,-1,1,13
0.595508521033795,85,4,-1,-3,-1,1,29
0.336425292156599,15,99,-1,-3,-1,1,12
0.821725280570123,0,2,-1,-3,-1,1,21
0.40930381587091,85,7,-1,-3,-1,1,26
0.347445921458322,0,2,-1,-3,-1,1,6
0.739125161059816,100,7,-1,-3,-1,1,18
0.35389575025767,85,4,-1,-3,-1,1,42
0.412227572702305,50,5,-1,-3,-1,1,21
0.597478424229198,66,3,-1,-3,-1,1,18
2.67914543549128,9,2,-1,-3,-1,6,53
0.824580169418564,0,4,-1,-3,-1,1,39
0.795984967535153,85,7,-1,-3,-1,1,42
0.615831693306746,85,6,-1,-3,-1,1,6
0.360026790539604,85,6,-1,-3,-1,1,20
0.760678888772311,100,7,-1,-3,-1,1,18
1.14667138244604,0,2,-1,-3,-1,1,17
0.646654965265431,15,2,-1,-3,-1,2,4
0.258531625084663,0,99,-1,-3,-1,2,48
0.73898981888579,90,7,-1,-3,-1,1,1
0.703186432319727,-6,6,-6,-3,-6,1,48
0.534233955375483,0,3,-1,-3,-1,1,48
0.336679223703669,40,5,-1,-3,-1,1,13
0.856396758942358,65,6,-1,-3,-1,1,48
1.40100940971629,15,99,-1,-3,-1,1,53
1.09239674191302,0,2,-1,-3,-1,2,12
0.339743264054556,-9,4,-1,-3,-1,3,55
5.24345800972381,50,6,-1,-3,-1,5,18
0.327743432529771,0,4,-1,-3,-1,1,26
0.64716396162805,15,3,-1,-3,-1,1,26
0.546175456987106,85,6,-1,-3,-1,1,37
1.66538678321591,50,99,-1,-3,-1,1,13
0.639398189395392,100,7,-1,-3,-1,1,9
0.843078717445063,70,99,-1,-3,-1,1,42
0.847069308908843,40,99,-1,-3,-1,2,26
1.23974676847643,70,4,-1,-3,-1,1,34
0.910833129271737,60,5,-1,-3,-1,1,34
0.649171800815555,0,2,-1,-3,-1,1,50
0.781959292410918,0,3,-1,-3,-1,1,21
0.381604993972484,15,4,-1,-3,-1,1,26
2.95153303797469,100,7,-1,-3,-1,1,55
0.31824907436212,10,3,-1,-3,-1,1,12
0.821639264511726,0,2,-1,-3,-1,3,17
0.532235204506105,0,4,-1,-3,-1,1,39
0.718230973857313,0,2,-1,-3,-1,1,55
0.571909847981596,60,6,-1,-3,-1,6,24
0.708571367623838,90,5,-1,-3,-1,1,12
0.812429363183129,40,6,-1,-3,-1,1,6
0.732655370676033,0,4,-1,-3,-1,1,53
2.33595586441745,65,5,-1,-3,-1,1,34
0.703593151148722,90,5,-1,-3,-1,1,4
0.895649573455477,0,3,-1,-3,-1,1,20
0.679930525193758,0,2,-1,-3,-1,1,24
0.97622323470136,1,6,-1,-3,-1,3,24
1.42788048189274,0,99,-1,-3,-1,1,41
1.09113681145592,100,7,-1,-3,-1,1,31
0.621552479557815,-6,99,-6,-3,-6,1,42
0.680276527267525,0,4,-1,-3,-1,1,53
0.590901927085647,0,6,-1,-3,-1,1,4
1.56208311629429,70,7,-1,-3,-1,1,18
0.758371275321698,70,99,-1,-3,-1,1,26
0.323632788732731,100,99,-1,-3,-1,1,26
0.548060006595017,85,6,-1,-3,-1,1,13
1.08947494045402,0,4,-1,-3,-5,1,36
0.918829917807263,100,6,-1,-3,-1,1,48
2.6959055779701,0,99,-1,-3,-1,1,17
0.393781242162825,75,99,-1,-3,-1,6,37
2.50549833063039,-6,99,-6,-3,-6,1,9
0.48240351657849,0,2,-1,-3,-1,1,42
1.38586799427771,85,5,-1,-3,-1,1,37
0.772326722365025,60,6,-1,-3,-1,1,36
0.49978978708819,0,2,-1,-3,-1,1,33
0.315831497495188,0,1,-1,-3,-1,1,18
0.632871350483802,15,5,-1,-3,-1,1,36
0.60496483743116,15,3,-1,-3,-1,1,27
0.527091180872849,-9,99,-1,-3,-1,2,47
0.946623998463629,0,4,-1,-3,-1,1,6
1.24772106925472,85,6,-1,-3,-1,1,18
0.316838193909505,-6,99,-6,-3,-6,2,26
0.39228928929078,0,2,-1,-3,-1,2,25
0.391198866085733,90,6,2,-3,-1,1,37
1.06448735990577,85,7,-1,-3,-1,1,36
0.981181846952144,15,3,-1,-3,-1,2,48
0.763208618243671,0,2,-1,-3,-1,1,34
1.1408043960433,72,4,-1,-3,-1,1,24
0.68862359742179,10,4,-1,-3,-1,1,53
0.318556657350366,0,4,-1,-3,-1,1,4
0.652439838372256,0,3,-1,-3,-1,1,50
0.459361998097139,100,6,-1,-3,-1,1,12
1.6256144789038,50,4,-1,-3,-1,3,48
0.647558912266622,100,4,-1,-3,-1,5,4
0.490765608334887,5,3,-1,-3,-1,1,27
0.520940634303464,0,4,-1,-3,-1,3,6
0.337408689438233,-9,6,-1,-3,-1,1,27
0.532773581033968,15,4,-1,-3,-1,1,20
1.04789068234396,-6,99,-6,-3,-6,4,6
1.03735851918412,85,6,-1,-3,-1,1,6
0.792117878333646,85,7,-1,-3,-1,1,37
0.330399669761874,-6,3,-6,-3,-6,6,39
0.343941163721205,0,3,-1,-3,-1,1,12
1.436442457561,85,6,-1,-3,-1,1,42
1.18319256437038,70,6,-1,-3,-1,1,17
0.370322906202326,0,4,-1,-3,-1,1,8
1.02287596923594,0,5,-1,-3,-1,1,45
0.442484518858714,85,6,-1,-3,-1,1,35
0.716864668775304,0,2,-1,-3,-1,1,8
0.739971185641289,40,5,-1,-3,-1,1,6
